y,ds
41.41176471,17-02-2020 22:00
41.41176471,17-02-2020 23:00
42.05882353,17-02-2020 00:00
42.70588235,17-02-2020 00:00
43.67647059,17-02-2020 03:00
43.67647059,17-02-2020 04:00
40.76470588,17-02-2020 06:00
38.5,17-02-2020 09:00
38.5,17-02-2020 10:00
38.5,17-02-2020 11:00
38.82352941,17-02-2020 12:00
39.14705882,17-02-2020 13:00
39.79411765,17-02-2020 14:00
39.79411765,17-02-2020 15:00
39.14705882,17-02-2020 16:00
37.85294118,17-02-2020 17:00
35.58823529,17-02-2020 19:00
35.58823529,17-02-2020 20:00
34.29411765,17-02-2020 21:00
33.97058824,17-02-2020 22:00
33.97058824,17-02-2020 23:00
33.97058824,17-02-2020 00:00
34.61764706,17-02-2020 00:00
34.61764706,17-02-2020 02:00
31.38235294,17-02-2020 06:00
27.82352941,17-02-2020 08:00
27.5,17-02-2020 09:00
27.17647059,17-02-2020 12:00
26.85294118,17-02-2020 13:00
26.20588235,17-02-2020 14:00
25.88235294,17-02-2020 15:00
25.23529412,17-02-2020 16:00
23.61764706,17-02-2020 17:00
20.05882353,17-02-2020 19:00
20.38235294,17-02-2020 20:00
21.67647059,17-02-2020 22:00
22.32352941,17-02-2020 00:00
22,17-02-2020 00:00
21.67647059,17-02-2020 02:00
21.35294118,17-02-2020 03:00
21.02941176,17-02-2020 04:00
22.32352941,17-02-2020 06:00
22.64705882,17-02-2020 07:00
22.64705882,17-02-2020 08:00
18.11764706,17-02-2020 12:00
15.20588235,17-02-2020 17:00
14.88235294,17-02-2020 18:00
13.26470588,17-02-2020 20:00
12.94117647,17-02-2020 21:00
12.29411765,17-02-2020 22:00
12.61764706,17-02-2020 23:00
14.23529412,17-02-2020 02:00
14.23529412,17-02-2020 03:00
14.23529412,17-02-2020 04:00
13.91176471,17-02-2020 05:00
11.97058824,17-02-2020 07:00
11.64705882,17-02-2020 08:00
11.32352941,17-02-2020 09:00
11,17-02-2020 11:00
11.32352941,17-02-2020 12:00
11.64705882,17-02-2020 13:00
11.64705882,17-02-2020 14:00
10.35294118,17-02-2020 17:00
9.058823529,17-02-2020 18:00
9.058823529,17-02-2020 19:00
9.058823529,17-02-2020 20:00
9.058823529,17-02-2020 21:00
10.02941176,17-02-2020 22:00
10.35294118,17-02-2020 23:00
10.67647059,17-02-2020 00:00
10.67647059,17-02-2020 00:00
10.67647059,17-02-2020 02:00
10.67647059,17-02-2020 03:00
11.32352941,17-02-2020 05:00
11,17-02-2020 06:00
10.02941176,17-02-2020 08:00
9.705882353,17-02-2020 09:00
9.382352941,17-02-2020 10:00
9.705882353,17-02-2020 11:00
10.02941176,17-02-2020 12:00
10.02941176,17-02-2020 13:00
10.02941176,17-02-2020 14:00
9.705882353,17-02-2020 15:00
9.705882353,17-02-2020 16:00
10.67647059,17-02-2020 18:00
11.32352941,17-02-2020 19:00
10.02941176,17-02-2020 20:00
9.058823529,17-02-2020 21:00
9.058823529,17-02-2020 22:00
9.058823529,17-02-2020 23:00
9.058823529,17-02-2020 00:00
9.058823529,17-02-2020 00:00
8.735294118,17-02-2020 02:00
8.411764706,17-02-2020 03:00
8.088235294,17-02-2020 04:00
8.411764706,17-02-2020 05:00
9.058823529,17-02-2020 06:00
9.382352941,17-02-2020 07:00
9.382352941,17-02-2020 08:00
9.382352941,17-02-2020 09:00
10.35294118,17-02-2020 10:00
11.64705882,17-02-2020 11:00
11.64705882,17-02-2020 12:00
11.64705882,17-02-2020 13:00
11.64705882,17-02-2020 14:00
11.97058824,17-02-2020 15:00
11.64705882,17-02-2020 16:00
11.32352941,17-02-2020 17:00
11.32352941,17-02-2020 18:00
11.32352941,17-02-2020 19:00
11.32352941,17-02-2020 20:00
11.97058824,17-02-2020 23:00
12.29411765,17-02-2020 00:00
12.61764706,17-02-2020 00:00
12.61764706,17-02-2020 02:00
12.94117647,17-02-2020 03:00
13.58823529,17-02-2020 04:00
15.20588235,17-02-2020 05:00
15.85294118,17-02-2020 06:00
16.5,17-02-2020 07:00
18.11764706,17-02-2020 11:00
19.73529412,17-02-2020 12:00
21.35294118,17-02-2020 15:00
21.35294118,17-02-2020 16:00
22,17-02-2020 17:00
22.32352941,17-02-2020 18:00
22.97058824,17-02-2020 19:00
24.58823529,17-02-2020 20:00
25.55882353,17-02-2020 21:00
25.88235294,17-02-2020 22:00
24.91176471,17-02-2020 23:00
24.58823529,17-02-2020 00:00
26.20588235,17-02-2020 02:00
26.52941176,17-02-2020 03:00
26.52941176,17-02-2020 07:00
26.85294118,17-02-2020 08:00
26.52941176,17-02-2020 09:00
26.20588235,17-02-2020 10:00
25.88235294,17-02-2020 11:00
25.88235294,17-02-2020 12:00
25.88235294,17-02-2020 13:00
24.58823529,17-02-2020 16:00
26.20588235,17-02-2020 19:00
22.97058824,17-02-2020 21:00
22.97058824,17-02-2020 22:00
19.73529412,17-02-2020 23:00
19.73529412,17-02-2020 00:00
22,17-02-2020 03:00
22,17-02-2020 04:00
20.05882353,17-02-2020 06:00
20.05882353,17-02-2020 07:00
22.64705882,17-02-2020 08:00
